"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 21 18:36:01 UTC 2022","Sun Aug 21 18:36:08 UTC 2022","7874","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check the default condition of the module ""Switch+save Telnyx""","Check the default condition of the module ""Switch+save Telnyx""",""
"passed","Sun Aug 21 18:36:24 UTC 2022","Sun Aug 21 18:36:26 UTC 2022","2635","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check the clickability ""Programmable Voice: "" radio buttons and  proper ""Compare Costs"" calculation","Check the clickability ""Programmable Voice: "" radio buttons and  proper ""Compare Costs"" calculation",""
"passed","Sun Aug 21 18:36:30 UTC 2022","Sun Aug 21 18:36:33 UTC 2022","2436","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check ""Send messages"" slider and proper ""Compare Costs"" calculation","Check ""Send messages"" slider and proper ""Compare Costs"" calculation",""
"passed","Sun Aug 21 18:36:08 UTC 2022","Sun Aug 21 18:36:11 UTC 2022","2573","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check the default condition of the module ""Switch+save Telnyx"" when ""SMS"" option is choosen","Check the default condition of the module ""Switch+save Telnyx"" when ""SMS"" option is choosen",""
"passed","Sun Aug 21 18:36:11 UTC 2022","Sun Aug 21 18:36:15 UTC 2022","4299","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check the clickability ""Toll-free numbers"" radio button and  proper ""Compare Costs"" calculation","Check the clickability ""Toll-free numbers"" radio button and  proper ""Compare Costs"" calculation",""
"passed","Sun Aug 21 18:36:18 UTC 2022","Sun Aug 21 18:36:21 UTC 2022","2767","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check ""Make outbound calls"" slider and proper ""Compare Costs"" calculation","Check ""Make outbound calls"" slider and proper ""Compare Costs"" calculation",""
"passed","Sun Aug 21 18:36:21 UTC 2022","Sun Aug 21 18:36:24 UTC 2022","2694","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check ""Receive inbound calls"" slider, proper ""Compare Costs"" calculation","Check ""Receive inbound calls"" slider, proper ""Compare Costs"" calculation",""
"passed","Sun Aug 21 18:36:33 UTC 2022","Sun Aug 21 18:36:35 UTC 2022","2671","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check ""Receive messages"" slider and proper ""Compare Costs"" calculation","Check ""Receive messages"" slider and proper ""Compare Costs"" calculation",""
"passed","Sun Aug 21 18:36:26 UTC 2022","Sun Aug 21 18:36:30 UTC 2022","4031","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check the clickability ""Make and receive messages from "" radio buttons and proper ""Compare Costs"" calculation","Check the clickability ""Make and receive messages from "" radio buttons and proper ""Compare Costs"" calculation",""
"passed","Sun Aug 21 18:36:15 UTC 2022","Sun Aug 21 18:36:18 UTC 2022","2812","","""Switch + save Telnyx"" form","","""Switch + save Telnyx"" form","Check clickability of the ""Local numbers"" radio button and  proper ""Compare Costs"" calculation","Check clickability of the ""Local numbers"" radio button and  proper ""Compare Costs"" calculation",""
